permno,date,ret,prc,ticker,cumulative_return
16678,2021-12-31,0.089815,45.26,KR,0.6266693800744443
16678,2022-01-31,-0.036898,43.59,KR,0.5666485332884574
16678,2022-02-28,0.078458,46.8,KR,0.689564643913203
16678,2022-03-31,0.225855,57.37,KR,1.0711612665642192
16678,2022-04-29,-0.059439,53.96,KR,0.9480535120409086
16678,2022-05-31,-0.014455,52.97,KR,0.9198943985243573
16678,2022-06-30,-0.106475,47.33,KR,0.7154736424414763
16678,2022-07-29,-0.018804,46.44,KR,0.6832158760690066
16678,2022-08-31,0.037898,47.94,KR,0.7470063913402698
16678,2022-09-30,-0.087401,43.75,KR,0.5943162857307387
16678,2022-10-31,0.080914,47.29,KR,0.7233187936743555
16678,2022-11-30,0.045676,49.19,KR,0.8020331028942254
16678,2022-12-30,-0.093718,44.58,KR,0.6331501645571844
16678,2023-01-31,0.001122,44.63,KR,0.6349825590418177
16678,2023-02-28,-0.02756,43.14,KR,0.5899224397146252
16678,2023-03-31,0.144414,49.37,KR,0.8195294989235731
16678,2023-04-28,-0.014989,48.63,KR,0.7922565712642076
16678,2023-05-31,-0.062513,45.33,KR,0.680217236224768
16678,2023-06-30,0.036841,47.0,KR,0.7421181194245245
16678,2023-07-31,0.034894,48.64,KR,0.8029075890837238
16678,2023-08-31,-0.040296,46.39,KR,0.730257624874006
16678,2023-09-29,-0.035352,44.75,KR,0.6690895573194602
16678,2023-10-31,0.013855,45.37,KR,0.6922147931361213
16678,2023-11-30,-0.017853,44.27,KR,0.6620036824342621
16678,2023-12-29,0.032528,45.71,KR,0.7160653382164839
16678,2024-01-31,0.009407,46.14,KR,0.7322083648530862
16678,2024-02-29,0.081491,49.61,KR,0.8733677567133289
16678,2024-03-28,0.151582,57.13,KR,1.1573365880114483
16678,2024-04-30,-0.030632,55.38,KR,1.0912530536474816
16678,2024-05-31,-0.049115,52.37,KR,0.9885411599175855
16678,2024-06-28,-0.046592,49.93,KR,0.8958910501947055
16678,2024-07-31,0.091528,54.5,KR,1.0694181662369266
16678,2024-08-30,-0.017798,53.21,KR,1.0325866617142418
16678,2024-09-30,0.076865,57.3,KR,1.1888214354669069
16678,2024-10-31,-0.026702,55.77,KR,1.1303755254970693
16678,2024-11-29,0.10095,61.08,KR,1.3454369347959987
16678,2024-12-31,0.001146,61.15,KR,1.348124805523275
49154,2020-01-31,-0.136261,110.74,TGT,-0.13626099999999997
49154,2020-02-28,-0.063934,103.0,TGT,-0.191483289226
